city,latitude,longitude
"London, England",51.4893335,-0.1440551
"Houston, Texas",29.7589382,-95.3676974
"Seattle, Washington",47.6038321,-122.330062
"Bellevue",47.6144219,-122.192337
"Bothell, Washington",47.7623204,-122.2054035
"North Seattle",47.6987081,-122.3325518
"Bellevue, Washington",47.6144219,-122.192337
"North Seattle",47.6987081,-122.3325518
"Joplin, Missouri",37.0841838,-94.5133385
"Georgia",32.3293809,-83.1137366
"Lexington, Kentucky",38.0464066,-84.4970393
"San Jose",37.3361663,-121.890591
"Michigan",43.6211955,-84.6824346
"Detroit metro area",42.3297,83.0425
"San Diego, California",32.7174202,-117.162772
"Alabama",33.2588817,-86.8295337
"Auburn",32.6098566,-85.4807825
"Buhl",48.9161045,8.0063486
"South Lake Tahoe, California",38.9456646,-119.9687141
"Austin, Texas",30.2711286,-97.7436995
"Boise",43.6166163,-116.200886
"New Hampshire",43.4849133,-71.6553992
"Vista Ridge High School, Cedar Park",30.5166545,-97.7865464
"Ridge High School",40.6935234,-74.5465114
"Arizona",34.395342,-111.763275
"Cedar Park, Texas",30.5217116,-97.827833
"Chicago, Illinois",41.8755616,-87.6244212
"Portland, Oregon",45.5202471,-122.674194
"Nairobi, Kenya",-1.2832533,36.8172449
"Tampa, Florida",27.9477595,-82.458444
"Cupertino, California",37.3228934,-122.0322895
"Dallas, Texas",32.7762719,-96.7968559
"Austin, Texas",30.2711286,-97.7436995
"Miami, Florida",25.7741728,-80.19362
"New Mexico",34.5802074,-105.996047
"New York City",40.7127281,-74.0060152
"Bay Area",37.7884969,-122.3558473
"Pasadena, California",34.1476507,-118.144155
"Pahrump, Nevada",36.2087301,-115.984614
"Orange County, California",33.750631,-117.8722311
"University of Illinois Urbana-Champaign",40.0761545,-88.2233134
"Haverford, Pennsylvania",40.0131672,-75.2943516

